﻿Rank,ID,Связка,Боль (x3),Факт (x3),Источники (x3),Аудитория (x2),Платёжесп (x2),Связанность (x2),Конкуренция (x1),ИТОГО
1,T1,Электроника (Китай) → Селлеры МП (WB/Ozon),5,5,4,5,4,4,2,70
2,H6,Юристы по ВЭД → Экспортёры/Импортёры,5,5,4,3,4,5,3,69
3,T2,Автозапчасти (Китай) → СТО (РФ),5,5,4,4,4,3,3,67
4,T5,Оборудование (Китай) → Заводы импортозамещ (РФ),5,5,3,3,5,4,4,67
5,T7,Стройматериалы → Девелоперы/Застройщики,4,5,4,3,5,4,3,66
6,F2,Инвесторы (Китай) → Недвижимость (Турция/ОАЭ/РФ),4,5,3,2,5,3,3,59
7,T4,Агроэкспорт зерна/масла (РФ) → Закупщики,4,5,3,2,5,3,3,59
8,T9,Химпром (удобрения) → Агрохолдинги,4,5,2,2,5,3,4,57
9,F4,Малый бизнес (РФ) → Краудлендинг,5,4,2,4,3,3,3,56
10,H9,Учёные/Исследователи → R&D корпорации,3,5,4,2,4,2,3,55
11,F10,Покупатели бизнеса → Продавцы франшиз,4,5,2,2,5,2,3,54
12,H5,Клиники (Турция/Индия) → Пациенты (РФ/СНГ),4,4,3,3,4,2,2,53
13,F3,Крипто-фонды → Web3/Blockchain,3,4,4,3,4,2,2,53
14,F1,Венчурные ангелы (РФ/СНГ) → AI-стартапы,3,4,3,2,5,3,2,52
15,F8,Агро-инвесторы → Фермерские хозяйства,3,4,3,2,4,3,4,52
16,H1,IT-аутсорсинг (Индия/РФ) → Стартапы,3,4,3,3,4,2,1,49
17,H2,Инженеры-проектировщики (РФ) → Стройкомпании,3,4,2,2,4,3,4,49
18,H3,Промпт-инженеры → Маркетинговые агентства,3,3,4,3,3,2,2,48
19,T10,Дропшиппинг → Начинающие предприниматели,3,3,4,5,1,2,1,47
20,T3,Ткани (Турция/Индия) → Бренды одежды,3,3,3,3,3,2,3,46
21,T8,Мебель → Дизайнеры интерьеров,3,3,3,3,3,2,3,46
22,H7,Interim CEO → Компании в кризисе,4,3,2,1,5,2,3,46
23,F5,Инвесторы Pre-IPO → Техкомпании,3,4,2,1,5,2,2,45
24,F9,ESG-фонды → GreenTech стартапы,2,3,3,2,4,2,3,43
25,F7,Геймдев-студии → Издатели (Китай),3,3,3,2,3,1,3,42
26,H10,Бизнес-ассистенты → Предприниматели,2,2,3,3,3,1,2,37
27,H4,Репетиторы/Носители языка → EdTech,2,2,3,4,2,1,1,36
28,H8,Креативные фрилансеры → Блогеры/Медиа,2,2,3,4,2,1,1,36
29,T6,Косметика (Корея/Китай) → Бьюти-блогеры,2,2,3,3,2,1,2,35
30,F6,HNWI (Индия) → Арт-рынок,2,2,2,1,5,1,3,35
